10001	Alaska	30001
10003	Alaska	30003
10004	Alaska	30004
10005	Alaska	30005
10006	Alaska	30006
10007	Alaska	30007
10008	Alaska	30008
10009	Alaska	30009
10010	New York	30010
10010	New York	30010
10011	Arizona	30011
10011	Arizona	30011
10011	Arizona	30011
10011	Arizona	30011
10012	New Jersey	30012
10013	Texas	30013
10014	Alaska	31517
10014	Alaska	31517
10015	Alaska	30015
10016	Alaska	30016
10017	Alaska	30017
10018	Alaska	30018
10019	Alaska	30019
10020	Alaska	30020
10020	Alaska	30020
10021	Alaska	30021
10022	Alaska	30022
10022	Alaska	30022
10022	Alaska	30022
10022	Alaska	30022
10022	Alaska	30022
10023	Alaska	30023
10023	Alaska	30023
10024	Alaska	30024
10025	Alaska	30025
10026	Alaska	30026
10027	Alaska	30027
10028	Alaska	30028
10028	Alaska	30028
10029	Alaska	30029
10030	Alaska	30030
10031	Alaska	30031
10031	Alaska	30031
10031	Alaska	30031
10031	Alaska	30031
10033	Alaska	30033
10034	Alaska	30034
10035	Alaska	30035
10036	Alaska	30036
10037	Alaska	30037
10038	Alaska	30038
10039	Alaska	30039
10040	Alaska	30040
10041	Alaska	30041
10042	Alaska	30042
10043	Alaska	30043
10044	Alaska	30044
10047	Alaska	30047
10049	Alaska	30049
10050	Alaska	30050
10050	Alaska	30050
10051	Alaska	30051
10052	Alaska	30052
10053	Alaska	30053
10054	Alaska	30054
10054	Alaska	30054
10055	Alaska	30055
10056	Alaska	30056
10058	Alaska	30058
10059	Alaska	30059
10060	Alaska	30060
10061	Alaska	30061
10062	Alaska	30062
10063	Alaska	30063
10064	Alaska	30064
10065	Alaska	30065
10066	Alaska	30066
10067	Alaska	30067
10069	Alaska	30069
10070	Alaska	36440
10070	Alaska	36440
10071	Alaska	30071
10072	Alaska	30072
10074	Alaska	30074
10074	Alaska	30074
10075	Alaska	30075
10076	Alaska	30076
10076	Alaska	30076
10076	Alaska	30076
10076	Alaska	30076
10076	Alaska	30076
10078	Alaska	30078
10079	Alaska	30079
10079	Alaska	30079
10079	Alaska	30079
10079	Alaska	30079
10079	Alaska	30079
10080	Alaska	30080
10082	Alaska	30082
10083	Alaska	30083
10084	Alaska	30009
10085	Alaska	30085
10086	Alaska	30086
10087	Alaska	32649
10088	Alaska	30088
10089	Alaska	30089
10090	Alaska	30090
10091	Alaska	30053
10092	Alaska	30053
10093	Alaska	30053
10094	Alaska	30094
10095	Alaska	30095
10096	Alaska	30096
10097	Alaska	30097
10098	Alaska	30098
10100	Alaska	30100
10102	Alaska	30102
10103	Alaska	30103
10104	Alaska	30104
10105	Alaska	30105
10106	Alaska	30106
10107	Alaska	30107
10108	Alaska	30107
10109	Alaska	30107
10110	Alaska	30110
10111	Alaska	30111
10112	Alaska	30112
10113	Alaska	30113
10116	Alaska	30116
10117	Alaska	30117
10122	Florida	30122
10122	Florida	30122
10122	Florida	30122
10122	Florida	30122
10135	Pennsylvania	30135
10135	Pennsylvania	30135
10135	Pennsylvania	30135
10135	Pennsylvania	30135
10135	Pennsylvania	30135
10136	Texas	30136
10136	Texas	30136
10136	Texas	30136
10139	Alaska	30139
10140	New Mexico	30140
10140	New Mexico	30140
10140	New Mexico	30140
10140	New Mexico	30140
10140	New Mexico	30140
10141	South Dakota	30141
10141	South Dakota	30141
10141	South Dakota	30141
10141	South Dakota	30141
10141	South Dakota	30141
10141	South Dakota	30141
10146	Georgia	30146
10146	Georgia	30146
10149	Michigan	30149
10149	Michigan	30149
10154	Massachusetts	30154
10154	Massachusetts	30154
10154	Massachusetts	30154
10154	Massachusetts	30154
10154	Massachusetts	30154
10155	Texas	30155
10155	Texas	30155
10157	California	30157
10157	California	30157
10157	California	30157
10157	California	30157
10157	California	30157
10157	California	30157
10158	New Jersey	30158
10158	New Jersey	30158
10158	New Jersey	30158
10158	New Jersey	30158
10165	Alaska	30165
10165	Alaska	30165
10165	Alaska	30165
10165	Alaska	30165
10165	Alaska	30165
10165	Alaska	30165
10167	Oklahoma	30167
10167	Oklahoma	30167
10167	Oklahoma	30167
10167	Oklahoma	30167
10167	Oklahoma	30167
10170	Alaska	30070
10170	Alaska	30070
10170	Alaska	30070
10170	Alaska	30070
10171	Texas	30194
10171	Texas	30194
10172	Maryland	30172
10172	Maryland	30172
10172	Maryland	30172
10172	Maryland	30172
10172	Maryland	30172
10176	Alaska	30176
10184	Alaska	30184
10184	Alaska	30184
10185	Louisiana	30185
10185	Louisiana	30185
10189	Colorado	30189
10189	Colorado	30189
10189	Colorado	30189
10189	Colorado	30189
10189	Colorado	30189
10190	Nebraska	30190
10190	Nebraska	30190
10190	Nebraska	30190
10190	Nebraska	30190
10190	Nebraska	30190
10190	Nebraska	30190
10191	Wyoming	30191
10191	Wyoming	30191
10192	North Carolina	30192
10192	North Carolina	30192
10192	North Carolina	30192
10192	North Carolina	30192
10192	North Carolina	30192
10194	Texas	30194
10194	Texas	30194
