county,id,sh_usfr_within_50miles,sh_usfr_within_100miles,sh_usfr_within_500miles
05149,185,0.63,0.75,0.88
06001,186,0.47,0.58,0.72
06003,187,0.25,0.31,0.61
06005,188,0.51,0.59,0.77
06007,189,0.44,0.54,0.78
06009,190,0.5,0.61,0.78
06011,191,0.57,0.68,0.83
06013,192,0.52,0.62,0.75
06015,193,0.43,0.53,0.75
06017,194,0.44,0.51,0.76
06019,195,0.6,0.65,0.84
06021,196,0.58,0.68,0.84
06023,197,0.41,0.44,0.67
06025,198,0.6,0.73,0.87
06027,199,0.35,0.35,0.75
06029,200,0.57,0.68,0.81
06031,201,0.48,0.59,0.76
06033,202,0.51,0.59,0.77
06035,203,0.38,0.48,0.77
06037,204,0.55,0.57,0.72
06039,205,0.58,0.65,0.84
06041,206,0.44,0.54,0.68
06043,207,0.34,0.5,0.74
06045,208,0.47,0.56,0.76
06047,209,0.51,0.69,0.83
06049,210,0.25,0.41,0.74
06051,211,0.21,0.23,0.67
06053,212,0.42,0.53,0.75
06055,213,0.47,0.6,0.75
06057,214,0.36,0.45,0.73
06059,215,0.57,0.6,0.76
06061,216,0.29,0.5,0.77
06063,217,0.31,0.46,0.74
06065,218,0.39,0.51,0.77
06067,219,0.5,0.62,0.77
06069,220,0.38,0.64,0.81
06071,221,0.37,0.46,0.78
06073,222,0.44,0.5,0.67
06075,223,0.27,0.44,0.61
06077,224,0.59,0.68,0.8
06079,225,0.35,0.43,0.77
06081,226,0.54,0.59,0.73
06083,227,0.4,0.47,0.76
06085,228,0.5,0.6,0.74
06087,229,0.44,0.54,0.76
06089,230,0.45,0.5,0.74
06091,231,0.29,0.53,0.78
06093,232,0.35,0.47,0.72
06095,233,0.53,0.63,0.74
06097,234,0.47,0.6,0.76
06099,235,0.59,0.7,0.82
06101,236,0.55,0.64,0.79
06103,237,0.54,0.57,0.79
06105,238,0.34,0.47,0.69
06107,239,0.54,0.67,0.85
06109,240,0.41,0.56,0.8
06111,241,0.4,0.61,0.75
06113,242,0.4,0.56,0.79
06115,243,0.45,0.57,0.72
08001,244,0.47,0.61,0.68
08003,245,0.38,0.43,0.74
08005,246,0.48,0.54,0.61
08007,247,0.29,0.32,0.56
08009,248,0.4,0.47,0.81
08011,249,0.39,0.53,0.78
08013,250,0.34,0.44,0.49
08014,251,0.44,0.5,0.57
08015,252,0.26,0.37,0.55
08017,253,0.33,0.43,0.81
08019,254,0.35,0.46,0.53
08021,255,0.45,0.49,0.82
08023,256,0.31,0.4,0.69
08025,257,0.44,0.54,0.73
08027,258,0.25,0.33,0.53
08029,259,0.47,0.5,0.71
08031,260,0.42,0.47,0.53
08033,261,0.37,0.45,0.68
08035,262,0.42,0.47,0.55
08037,263,0.26,0.37,0.46
08039,264,0.38,0.52,0.64
08041,265,0.35,0.41,0.5
08043,266,0.37,0.54,0.67
08045,267,0.35,0.43,0.61
08047,268,0.3,0.42,0.48
08049,269,0.24,0.38,0.47
08051,270,0.22,0.27,0.52
08053,271,0.15,0.2,0.4
08055,272,0.37,0.46,0.68
08057,273,0.24,0.37,0.66
08059,274,0.43,0.54,0.6
08061,275,0.35,0.48,0.82
08063,276,0.34,0.43,0.77
08065,277,0.27,0.37,0.55
08067,278,0.28,0.31,0.59
08069,279,0.3,0.49,0.59
08071,280,0.34,0.45,0.76
08073,281,0.22,0.48,0.73
08075,282,0.42,0.55,0.8
08077,283,0.45,0.46,0.71
08079,284,0.2,0.26,0.5
08081,285,0.36,0.42,0.71
08083,286,0.37,0.42,0.7
08085,287,0.47,0.5,0.7
08087,288,0.52,0.65,0.77
08089,289,0.51,0.58,0.81
08091,290,0.25,0.3,0.52
08093,291,0.21,0.38,0.47
08095,292,0.41,0.46,0.78
08097,293,0.23,0.32,0.42
08099,294,0.41,0.47,0.82
08101,295,0.57,0.6,0.76
08103,296,0.28,0.4,0.69
08105,297,0.43,0.45,0.77
08107,298,0.23,0.3,0.46
08109,299,0.32,0.37,0.65
08111,300,0.19,0.25,0.53
08113,301,0.25,0.29,0.45
08115,302,0.38,0.44,0.79
08117,303,0.19,0.3,0.36
08119,304,0.34,0.4,0.49
08121,305,0.34,0.57,0.81
08123,306,0.36,0.59,0.7
08125,307,0.4,0.48,0.81
09001,308,0.6,0.68,0.82
09003,309,0.62,0.73,0.83
09005,310,0.62,0.71,0.82
09007,311,0.6,0.71,0.82
09009,312,0.63,0.72,0.83
09011,313,0.57,0.64,0.78
09013,314,0.58,0.7,0.84
09015,315,0.67,0.76,0.84
10001,316,0.54,0.67,0.84
10003,317,0.61,0.7,0.86
10005,318,0.56,0.71,0.87
11001,319,0.45,0.47,0.74
12001,320,0.41,0.48,0.78
12003,321,0.74,0.77,0.89
12005,322,0.43,0.48,0.74
12007,323,0.65,0.7,0.86
12009,324,0.47,0.5,0.65
12011,325,0.54,0.56,0.65
12013,326,0.63,0.72,0.88
12015,327,0.38,0.43,0.52
12017,328,0.43,0.52,0.65
12019,329,0.53,0.55,0.73
12021,330,0.37,0.44,0.53
12023,331,0.55,0.64,0.85
12027,332,0.55,0.65,0.74
12029,333,0.5,0.66,0.84
12031,334,0.52,0.55,0.76
12033,335,0.52,0.54,0.75
12035,336,0.38,0.46,0.62
12037,337,0.52,0.66,0.85
12039,338,0.68,0.72,0.9
12041,339,0.56,0.64,0.82
12043,340,0.4,0.6,0.73
12045,341,0.49,0.57,0.8
12047,342,0.53,0.67,0.87
12049,343,0.63,0.69,0.78
12051,344,0.58,0.64,0.76
12053,345,0.5,0.56,0.65
12055,346,0.45,0.6,0.69
12057,347,0.49,0.53,0.67
12059,348,0.67,0.72,0.88
12061,349,0.46,0.51,0.65
12063,350,0.57,0.67,0.87
12065,351,0.59,0.63,0.87
12067,352,0.53,0.67,0.86
12069,353,0.47,0.54,0.67
12071,354,0.4,0.47,0.58
12073,355,0.39,0.42,0.82
12075,356,0.52,0.62,0.79
12077,357,0.7,0.74,0.89
12079,358,0.61,0.68,0.9
12081,359,0.48,0.53,0.63
12083,360,0.48,0.58,0.72
12085,361,0.42,0.47,0.59
12086,362,0.62,0.64,0.73
12087,363,0.34,0.39,0.51
12089,364,0.55,0.59,0.78
12091,365,0.38,0.42,0.66
12093,366,0.5,0.64,0.73
12095,367,0.45,0.5,0.68
12097,368,0.42,0.49,0.6
12099,369,0.46,0.52,0.62
12101,370,0.49,0.54,0.65
12103,371,0.5,0.54,0.66
12105,372,0.55,0.61,0.71
12107,373,0.56,0.69,0.83
12109,374,0.43,0.49,0.68
12111,375,0.4,0.54,0.65
12113,376,0.47,0.5,0.71
12115,377,0.43,0.47,0.58
12117,378,0.48,0.52,0.68
12119,379,0.42,0.5,0.62
12121,380,0.5,0.63,0.84
12123,381,0.62,0.69,0.89
12125,382,0.68,0.74,0.88
12127,383,0.44,0.5,0.66
12129,384,0.59,0.64,0.85
12131,385,0.4,0.46,0.74
12133,386,0.59,0.68,0.86
13001,387,0.64,0.76,0.93
13003,388,0.7,0.78,0.92
13005,389,0.67,0.77,0.93
13007,390,0.6,0.68,0.9
13009,391,0.55,0.77,0.92
13011,392,0.67,0.76,0.9
13013,393,0.65,0.7,0.86
13015,394,0.67,0.73,0.88
13017,395,0.6,0.71,0.91
13019,396,0.64,0.7,0.88
13021,397,0.64,0.77,0.9
13023,398,0.62,0.73,0.92
13025,399,0.68,0.77,0.91
13027,400,0.64,0.7,0.91
13029,401,0.46,0.5,0.76
13031,402,0.45,0.53,0.89
13033,403,0.69,0.74,0.91
13035,404,0.7,0.78,0.9
13037,405,0.64,0.73,0.92
13039,406,0.42,0.46,0.69
13043,407,0.64,0.74,0.9
13045,408,0.62,0.73,0.88
13047,409,0.7,0.75,0.9
13049,410,0.65,0.72,0.89
13051,411,0.47,0.5,0.79
