54571	604.388	AL
182265	2027.311	AL
27457	904.515	AL
22915	626.169	AL
57322	650.628	AL
10914	625.143	AL
20947	777.882	AL
118572	612.287	AL
34215	603.113	AL
25989	599.978	AL
43643	700.802	AL
13859	920.859	AL
25833	1252.574	AL
13932	606.001	AL
14972	561.013	AL
49948	680.495	AL
54428	622.129	AL
13228	852.722	AL
11539	666.349	AL
37765	1043.787	AL
13906	610.916	AL
80406	755.021	AL
50251	562.701	AL
43820	993.805	AL
71109	778.685	AL
79303	657.042	AL
38319	953.139	AL
104430	548.629	AL
17241	629.356	AL
31704	646.523	AL
26790	578.951	AL
9045	659.941	AL
15760	656.501	AL
17302	568.309	AL
101547	581.654	AL
53227	1126.771	AL
658466	1123.814	AL
14564	605.464	AL
92709	720.99	AL
34339	717.199	AL
140247	615.849	AL
82782	607.188	AL
11299	725.071	AL
21452	613.207	AL
334811	812.702	AL
21027	982.671	AL
30776	743.571	AL
93019	623.179	AL
412992	1644.012	AL
23068	1034.418	AL
229363	799.912	AL
119490	599.053	AL
10591	723.88	AL
19746	890.125	AL
32899	673.006	AL
22913	584.135	AL
52947	647.192	AL
83593	653.64	AL
195085	809.525	AL
13763	913.322	AL
82291	760.306	AL
41616	766.254	AL
194656	1351.252	AL
67023	805.194	AL
17581	1088.566	AL
11670	907.411	AL
24484	631.868	AL
3141	15009.86	AK
5561	14116.438	AK
291826	1961.001	AK
17013	45504.205	AK
997	887.563	AK
1826	12776.92	AK
4847	20915.207	AK
97581	7443.688	AK
2508	2725.503	AK
2150	10914.153	AK
31275	3253.893	AK
55400	24752.317	AK
13477	6653.563	AK
13592	12021.829	AK
7459	19672.951	AK
1631	32922.499	AK
88995	25257.607	AK
9492	28277.62	AK
9430	94796.283	AK
7523	40748.935	AK
3815	5684.066	AK
5559	7683.284	AK
8881	4811.431	AK
968	464.036	AK
7029	25059.464	AK
9636	40340.175	AK
2369	3462.057	AK
662	9462.867	AK
5588	147804.631	AK
71518	11218.438	AZ
131346	6218.596	AZ
134421	18661.342	AZ
53597	4795.428	AZ
37220	4641.066	AZ
8437	1848.433	AZ
20489	4513.753	AZ
3817117	9224.389	AZ
200186	13460.649	AZ
107449	9959.719	AZ
980263	9189.097	AZ
375770	5374.234	AZ
47420	1238.108	AZ
211033	8127.94	AZ
195751	5519.109	AZ
19019	1033.749	AR
21853	940.527	AR
41513	586.715	AR
221339	883.906	AR
36903	601.831	AR
11508	652.917	AR
5368	632.414	AR
27446	638.8	AR
11800	690.787	AR
22995	882.829	AR
16083	641.436	AR
25970	591.922	AR
8689	598.748	AR
24552	766.753	AR
21273	566.668	AR
96443	712.674	AR
61948	604.242	AR
50902	636.377	AR
17870	622.307	AR
8116	668.106	AR
13008	819.526	AR
18509	835.661	AR
113237	664.072	AR
18125	619.642	AR
12245	620.328	AR
96024	734.621	AR
17853	632.93	AR
42090	579.563	AR
22609	741.177	AR
32923	622.172	AR
13789	595.314	AR
36647	771.518	AR
13696	584.018	AR
17997	641.501	AR
77435	913.776	AR
25540	682.744	AR
7645	545.079	AR
17415	592.342	AR
10424	619.502	AR
14134	572.185	AR
13171	564.766	AR
22353	731.56	AR
68356	802.84	AR
15717	837.08	AR
16653	640.32	AR
43462	637.649	AR
46480	919.812	AR
8149	621.298	AR
9487	800.289	AR
8997	620.639	AR
8330	823.186	AR
26120	739.752	AR
10445	560.533	AR
21757	727.345	AR
11291	614.13	AR
24583	763.61	AR
20662	862.462	AR
61754	830.775	AR
8715	675.614	AR
382748	807.663	AR
17969	656.04	AR
28258	642.512	AR
107118	730.49	AR
11233	898.073	AR
8195	668.511	AR
125744	546.16	AR
17058	581.277	AR
17264	606.436	AR
12394	609.432	AR
41639	1055.199	AR
17295	724.284	AR
203065	952.409	AR
77076	1042.145	AR
7260	594.014	AR
22185	948.857	AR
1510271	821.328	CA
